CARD_NO,CARD_FIID,MTI,PRODUCT_ID,LOCAL_DATE,LOCAL_TIME,ACTION_CODE,PROCESSING_CODE,TXN_AMT,TXN_ORI,TXN_RSPDER,SEQ_NO,AUTH_APP_CODE,TRACE_ID,TXN_DATE,TXN_TIME,ACQ_CNTRY_CDE,ACQ_CRNCY_CDE,ACQ_ID_CDE,ISS_INST_ID,MERCHANT_ID,TERM_ID,TERM_FIID,TERM_LGNT,TERM_LOC,COUNTRY_CDE,CITY,TRACK2,TXN_AMT_CRNCY_CDE,RSN_CDE,AST-RTN-PRO-NAME,FROM_ACC,TXN_ID,SENDER_DATA(OCT)
4834460100000082,GSBP,1110,ATM,171219,11140166,000,010000,49554,2,2,735304000964,540026,000964,171219,11140100,702,702,476134,31,999999999999999,ATM2.1,VISA,SIT3,999999999999999,singapore,702,4834460100000082=0000000000000,764,,,020000086684,307353152,410302
4834460100000082,GSBP,1110,ATM,171219,11140682,000,011000,99108,2,2,735304000965,917260,000965,171219,11140600,702,702,476134,31,999999999999999,ATM2.2,VISA,SIT3,999999999999999,singapore,702,4834460100000082=0000000000000,764,,,020000086684,307353152,460306
4834460100000082,GSBP,1110,ATM,171219,11141207,902,012000,,2,2,735304000966,,000966,171219,11141100,702,702,476134,31,999999999999999,ATM2.3,VISA,SIT3,999999999999999,singapore,702,4834460100000082=0000000000000,,,,,307353152,510312
4834460100000082,GSBP,1110,ATM,171219,11141742,000,013000,198216,2,2,735304000967,671728,000967,171219,11141600,702,702,476134,31,999999999999999,ATM2.4,VISA,SIT3,999999999999999,singapore,702,4834460100000082=0000000000000,764,,,020000086684,307353152,570316
4834460100000082,GSBP,1110,ATM,171219,11142260,117,010000,,2,2,735304000968,,000968,171219,11142200,702,702,476134,31,999999999999999,ATM2.11,VISA,SIT3,999999999999999,singapore,702,4834460100000082=0000000000000,,,,020000086684,307353152,620319
4834460100000082,GSBP,1110,ATM,171219,11142790,000,010000,569870,2,2,735304000969,764278,000969,171219,11142700,702,702,476134,31,999999999999999,ATM2.14,VISA,SIT3,999999999999999,singapore,702,4834460100000082=0000000000000,764,,,020000086684,307353152,670323
4834460100000082,GSBP,1110,ATM,171219,11143320,100,010000,,2,2,735304000970,,000970,171219,11143200,702,702,476134,31,999999999999999,ATM2.15,VISA,SIT3,999999999999999,singapore,702,4834460100000082=0000000000000,,,,020000086684,307353152,730326
4834460100000082,GSBP,1110,ATM,171219,11143835,100,010000,,2,2,735304000971,,000971,171219,11143700,702,702,476134,31,999999999999999,ATM2.16,VISA,SIT3,999999999999999,singapore,702,4834460100000082=0000000000000,,,,020000086684,307353152,780334
4834460100000082,GSBP,1110,ATM,171219,11144360,100,010000,,2,2,735304000972,,000972,171219,11144300,702,702,476134,31,999999999999999,ATM2.17,VISA,SIT3,999999999999999,singapore,702,4834460100000082=0000000000000,,,,020000086684,307353152,830342
4834460100000082,GSBP,1110,ATM,171219,11144884,100,011000,,2,2,735304000973,,000973,171219,11144800,702,702,476134,31,999999999999999,ATM3.1,VISA,SIT3,999999999999999,singapore,702,4834460100000082=0000000000000,,,,020000086684,307353152,880348
4834460100000082,GSBP,1110,ATM,171219,11145411,120,300000,,2,3,735304000974,,000974,171219,11145300,702,702,476134,31,999999999999999,ATM4.1,VISA,SIT3,999999999999999,singapore,702,4834460100000082=0000000000000,,,,,307353152,930350
4834460100000082,GSBP,1110,ATM,171219,11145932,000,301000,0,2,2,735304000975,226024,000975,171219,11145800,702,702,476134,31,999999999999999,ATM4.2,VISA,SIT3,999999999999999,singapore,702,4834460100000082=0000000000000,764,,,020000086684,307353152,990352
4834460100000082,GSBP,1110,ATM,171219,11150456,100,302000,,2,2,735304000976,,000976,171219,11150400,702,702,476134,31,999999999999999,ATM4.3,VISA,SIT3,999999999999999,singapore,702,4834460100000082=0000000000000,,,,000000022103,307353153,040355
4834460100000082,GSBP,1110,ATM,171219,11150983,119,303000,,2,3,735304000977,,000977,171219,11150900,702,702,476134,31,999999999999999,ATM4.4,VISA,SIT3,999999999999999,singapore,702,4834460100000082=0000000000000,,,,,307353153,090361
4834460100000082,GSBP,1110,ATM,171219,11151508,117,301000,,2,2,735304000978,,000978,171219,11151400,702,702,476134,31,999999999999999,ATM4.9,VISA,SIT3,999999999999999,singapore,702,4834460100000082=0000000000000,,,,020000086684,307353153,140369
4834460100000082,GSBP,1110,ATM,171219,11152034,000,010000,123885,2,2,735304000979,761301,000979,171219,11151900,702,702,476134,31,999999999999999,ATM7.1,VISA,SIT3,999999999999999,singapore,702,4834460100000082=0000000000000,764,,,020000086684,307353153,200371
4834460100000082,GSBP,1110,ATM,171219,11152549,119,011000,4000,2,4,735304000980,,000980,171219,11152500,764,764,476134,31,999999999999999,ATM2.2,VISA,SIT3,999999999999999,Bangkok,764,4834460100000082=0000000000000,764,,,,307353153,250372
4834460100000082,GSBP,1110,ATM,171219,11153064,000,010000,123885,2,2,735304000981,482197,000981,171219,11153000,702,702,476134,31,999999999999999,ATM7.1,VISA,SIT3,999999999999999,singapore,702,4834460100000082=0000000000000,764,,,020000086684,307353153,300375
4834460100000082,GSBP,1110,POS,171219,11153598,000,001000,24777,2,2,735304000982,710812,000982,171219,11153500,702,702,476134,31,999999999999999,POS2.1,VISA,SIT3,2.1 Auth F104,singapore,702,4834460100000082=0000000000000,764,,,020000086684,307353153,350382
4834460100000082,GSBP,1110,POS,171219,11154121,000,001000,29732,2,2,735304000983,403456,000983,171219,11154000,702,702,476134,31,999999999999999,POS2.2,VISA,SIT3,2.2 Auth Savings Acc,singapore,702,4834460100000082=0000000000000,764,,,020000086684,307353153,400391
4834460100000082,GSBP,1110,POS,171219,11154641,120,002000,,2,3,735304000984,,000984,171219,11154500,702,702,476134,31,999999999999999,POS2.3,VISA,SIT3,2.3 Auth Checking Acc,singapore,702,4834460100000082=0000000000000,,,,,307353153,460400
4834460100000082,GSBP,1110,POS,171219,11155166,120,003000,,2,3,735304000985,,000985,171219,11155100,702,702,476134,31,999999999999999,POS2.4,VISA,SIT3,2.4 Auth Credit Acc,singapore,702,4834460100000082=0000000000000,,,,,307353153,510403
4834460100000082,GSBP,1110,POS,171219,11155691,000,001000,44598,2,2,735304000986,106867,000986,171219,11155600,702,702,476134,31,999999999999999,POS2.8,VISA,SIT3,2.8 Auth with PIN,singapore,702,4834460100000082=0000000000000,764,,,020000086684,307353153,560406
4834460100000082,GSBP,1110,POS,171219,11160220,117,001000,,2,2,735304000987,000000,000987,171219,11160100,702,702,476134,31,999999999999999,POS2.18,VISA,SIT3,2.18 Auth with wrong PIN,singapore,702,4834460100000082=0000000000000,,,,020000086684,307353153,620407
4834460100000082,GSBP,1110,POS,171219,11160742,000,001000,24777,2,2,735304000988,777606,000988,171219,11160600,702,702,476134,31,999999999999999,POS2.19,VISA,SIT3,2.19 Auth POS 95,singapore,702,4834460100000082=0000000000000,764,,,020000086684,307353153,670414
4834460100000082,GSBP,1110,POS,171219,11161259,100,001000,,2,2,735304000989,000000,000989,171219,11161200,702,702,476134,31,999999999999999,POS2.20,VISA,SIT3,2.20 Auth invalid iCVV,singapore,702,4834460100000082=0000000000000,,,,020000086684,307353153,720420
4834460100000082,GSBP,1110,POS,171219,11161785,100,001000,,2,2,735304000990,000000,000990,171219,11161700,702,702,476134,31,999999999999999,POS2.21,VISA,SIT3,2.21 Auth inva ARQC full,singapore,702,4834460100000082=0000000000000,,,,020000086684,307353153,770422
